Rank,Name,Net_Worth_USD_Billion,Age,Country,Industry,Source_of_Wealth,City,Marital_Status,Children
1,Elon Musk,841.1,54,USA,Technology,"Tesla, SpaceX, xAI",Austin,Single,12
2,Larry Page,272.4,52,USA,Technology,Google,Palo Alto,Married,2
3,Sergey Brin,251.3,52,USA,Technology,Google,Los Altos,Divorced,3
4,Jeff Bezos,244.3,62,USA,Technology,Amazon,Miami,Engaged,4
5,Mark Zuckerberg,229.3,41,USA,Technology,Meta,Palo Alto,Married,3
6,Larry Ellison,193,81,USA,Technology,Oracle,Lanai,Divorced,2
7,Bernard Arnault,165.1,76,France,Fashion & Retail,LVMH,Paris,Married,5
8,Jensen Huang,154,63,USA,Technology,NVIDIA,Los Altos,Married,2
9,Warren Buffett,149.3,95,USA,Finance,Berkshire Hathaway,Omaha,Widowed,3
10,Rob Walton,146,81,USA,Fashion & Retail,Walmart,Bentonville,Married,3
11,Jim Walton,143.3,77,USA,Fashion & Retail,Walmart,Bentonville,Married,4
12,Amancio Ortega,142.2,89,Spain,Fashion & Retail,Zara,La Coruna,Married,3
13,Michael Dell,140.6,61,USA,Technology,Dell Technologies,Austin,Married,4
14,Alice Walton,134.1,76,USA,Fashion & Retail,Walmart,Fort Worth,Divorced,0
15,Carlos Slim Helu,124.9,86,Mexico,Telecom,America Movil,Mexico City,Widowed,6
16,Steve Ballmer,124.3,69,USA,Technology,Microsoft,Hunts Point,Married,3
17,Michael Bloomberg,109.4,84,USA,Finance,Bloomberg LP,New York,Partnered,2
18,Bill Gates,108.1,70,USA,Technology,Microsoft,Medina,Divorced,3
19,Mukesh Ambani,97.2,68,India,Diversified,Reliance Industries,Mumbai,Married,3
20,Francoise Bettencourt Meyers,94.3,72,France,Fashion & Retail,L'Oreal,Paris,Married,2
21,Thomas Peterffy,82.8,81,USA,Finance,Interactive Brokers,Palm Beach,Divorced,3
22,Julia Koch,81.1,63,USA,Diversified,Koch Industries,New York,Widowed,3
23,Charles Koch,73.7,90,USA,Diversified,Koch Industries,Wichita,Married,2
24,Zhang Yiming,69.3,42,China,Technology,ByteDance,Beijing,Married,0
25,Jeff Yass,67.4,67,USA,Finance,Susquehanna,Haverford,Married,4
26,Dieter Schwarz,67.1,86,Germany,Fashion & Retail,Schwarz Gruppe,Heilbronn,Married,2
27,German Larrea Mota Velasco,67,72,Mexico,Metals & Mining,Grupo Mexico,Mexico City,Married,2
28,Zhong Shanshan,66.2,71,China,Food & Beverage,Nongfu Spring,Hangzhou,Married,3
29,Changpeng Zhao,63.6,49,Canada,Finance,Binance,Dubai,Single,2
30,Gautam Adani,61.9,63,India,Diversified,Adani Group,Ahmedabad,Married,2
31,Tadashi Yanai,60.7,77,Japan,Fashion & Retail,Uniqlo,Tokyo,Married,2
32,Ma Huateng,53.4,54,China,Technology,Tencent,Shenzhen,Married,2
33,Robin Zeng,52.9,57,Hong Kong,Automotive,CATL,Ningde,Married,0
34,Iris Fontbona,51.8,83,Chile,Metals & Mining,Antofagasta,Santiago,Widowed,3
